wavelength,intensity,uncertainty
3500.0,1.0,nan
3501.0,1.0,nan
3502.0,1.0,nan
3503.0,1.0,nan
3504.0,1.0,nan
3505.0,1.0,nan
3506.0,1.0,nan
3507.0,1.0,nan
3508.0,1.0,nan
3509.0,1.0,nan
3510.0,1.0,nan
3511.0,1.0,nan
3512.0,1.0,nan
3513.0,1.0,nan
3514.0,1.0,nan
3515.0,1.0,nan
3516.0,1.0,nan
3517.0,1.0,nan
3518.0,1.0,nan
3519.0,1.0,nan
3520.0,1.0,nan
3521.0,1.0,nan
3522.0,1.0,nan
3523.0,1.0,nan
3524.0,1.0,nan
3525.0,1.0,nan
3526.0,1.0,nan
3527.0,1.0,nan
3528.0,1.0,nan
3529.0,1.0,nan
3530.0,1.0,nan
3531.0,1.0,nan
3532.0,1.0,nan
3533.0,1.0,nan
3534.0,1.0,nan
3535.0,1.0,nan
3536.0,1.0,nan
3537.0,1.0,nan
3538.0,1.0,nan
3539.0,1.0,nan
3540.0,1.0,nan
3541.0,1.0,nan
3542.0,1.0,nan
3543.0,1.0,nan
3544.0,1.0,nan
3545.0,1.0,nan
3546.0,1.0,nan
3547.0,1.0,nan
3548.0,1.0,nan
3549.0,1.0,nan
3550.0,1.0,nan
3551.0,1.0,nan
3552.0,1.0,nan
3553.0,1.0,nan
3554.0,1.0,nan
3555.0,1.0,nan
3556.0,1.0,nan
3557.0,1.0,nan
3558.0,1.0,nan
3559.0,1.0,nan
3560.0,1.0,nan
3561.0,1.0,nan
3562.0,1.0,nan
3563.0,1.0,nan
3564.0,1.0,nan
3565.0,1.0,nan
3566.0,1.0,nan
3567.0,1.0,nan
3568.0,1.0,nan
3569.0,1.0,nan
3570.0,1.0,nan
3571.0,1.0,nan
3572.0,1.0,nan
3573.0,1.0,nan
3574.0,1.0,nan
3575.0,1.0,nan
3576.0,1.0,nan
3577.0,1.0,nan
3578.0,1.0,nan
3579.0,1.0,nan
3580.0,1.0,nan
3581.0,1.0,nan
3582.0,1.0,nan
3583.0,1.0,nan
3584.0,1.0,nan
3585.0,1.0,nan
3586.0,1.0,nan
3587.0,1.0,nan
3588.0,1.0,nan
3589.0,1.0,nan
3590.0,1.0,nan
3591.0,1.0,nan
3592.0,1.0,nan
3593.0,1.0,nan
3594.0,1.0,nan
3595.0,1.0,nan
3596.0,1.0,nan
3597.0,1.0,nan
3598.0,1.0,nan
3599.0,1.0,nan
3600.0,1.0,nan
3601.0,1.0,nan
3602.0,1.0,nan
3603.0,1.0,nan
3604.0,1.0,nan
3605.0,1.0,nan
3606.0,1.0,nan
3607.0,1.0,nan
3608.0,1.0,nan
3609.0,1.0,nan
3610.0,1.0,nan
3611.0,1.0,nan
3612.0,1.0,nan
3613.0,1.0,nan
3614.0,1.0,nan
3615.0,1.0,nan
3616.0,1.0,nan
3617.0,1.0,nan
3618.0,1.0,nan
3619.0,1.0,nan
3620.0,1.0,nan
3621.0,1.0,nan
3622.0,1.0,nan
3623.0,1.0,nan
3624.0,1.0,nan
3625.0,1.0,nan
3626.0,1.0,nan
3627.0,1.0,nan
3628.0,1.0,nan
3629.0,1.0,nan
3630.0,1.0,nan
3631.0,1.0,nan
3632.0,1.0,nan
3633.0,1.0,nan
3634.0,1.0,nan
3635.0,1.0,nan
3636.0,1.0,nan
3637.0,1.0,nan
