wavelength_angstrom,flux_erg_s_cm2_angstrom
3.500000000000000000e+03,3.238594673660716901e-15
3.501587301587301681e+03,3.244667598766691670e-15
3.503174603174603362e+03,3.250743060432901903e-15
3.504761904761904589e+03,3.256821043873334799e-15
3.506349206349206270e+03,3.262901534303824678e-15
3.507936507936507951e+03,3.268984516942159472e-15
3.509523809523809632e+03,3.275069977008167502e-15
3.511111111111111313e+03,3.281157899723793210e-15
3.512698412698412540e+03,3.287248270313212327e-15
3.514285714285714221e+03,3.293341074002937984e-15
3.515873015873015902e+03,3.299436296021868825e-15
3.517460317460317583e+03,3.305533921601433369e-15
3.519047619047619264e+03,3.311633935975633403e-15
3.520634920634920491e+03,3.317736324381174532e-15
3.522222222222222172e+03,3.323841072057530081e-15
3.523809523809523853e+03,3.329948164247066915e-15
3.525396825396825534e+03,3.336057586195075815e-15
3.526984126984126760e+03,3.342169323149937921e-15
3.528571428571428442e+03,3.348283360363167731e-15
3.530158730158730123e+03,3.354399683089506184e-15
3.531746031746031804e+03,3.360518276587014533e-15
3.533333333333333485e+03,3.366639126117195832e-15
3.534920634920634711e+03,3.372762216945013869e-15
3.536507936507936392e+03,3.378887534339072234e-15
3.538095238095238074e+03,3.385015063571618266e-15
3.539682539682539755e+03,3.391144789918690966e-15
3.541269841269841436e+03,3.397276698660180552e-15
3.542857142857142662e+03,3.403410775079924307e-15
3.544444444444444343e+03,3.409547004465788229e-15
3.546031746031746025e+03,3.415685372109788511e-15
3.547619047619047706e+03,3.421825863308112055e-15
3.549206349206349387e+03,3.427968463361264381e-15
3.550793650793650613e+03,3.434113157574141810e-15
3.552380952380952294e+03,3.440259931256089442e-15
3.553968253968253975e+03,3.446408769721024223e-15
3.555555555555555657e+03,3.452559658287504361e-15
3.557142857142857338e+03,3.458712582278811368e-15
3.558730158730158564e+03,3.464867527023034469e-15
3.560317460317460245e+03,3.471024477853183015e-15
3.561904761904761926e+03,3.477183420107234998e-15
3.563492063492063608e+03,3.483344339128226584e-15
3.565079365079365289e+03,3.489507220264361375e-15
3.566666666666666515e+03,3.495672048869079035e-15
3.568253968253968196e+03,3.501838810301131814e-15
3.569841269841269877e+03,3.508007489924697744e-15
3.571428571428571558e+03,3.514178073109401945e-15
3.573015873015872785e+03,3.520350545230470054e-15
3.574603174603174466e+03,3.526524891668781472e-15
3.576190476190476147e+03,3.532701097810927351e-15
3.577777777777777828e+03,3.538879149049340354e-15
3.579365079365079509e+03,3.545059030782344361e-15
3.580952380952380736e+03,3.551240728414239266e-15
3.582539682539682417e+03,3.557424227355388936e-15
3.584126984126984098e+03,3.563609513022315876e-15
3.585714285714285779e+03,3.569796570837734361e-15
3.587301587301587460e+03,3.575985386230694795e-15
3.588888888888888687e+03,3.582175944636612114e-15
3.590476190476190368e+03,3.588368231497379377e-15
3.592063492063492049e+03,3.594562232261428514e-15
3.593650793650793730e+03,3.600757932383821040e-15
3.595238095238095411e+03,3.606955317326300123e-15
3.596825396825396638e+03,3.613154372557422321e-15
3.598412698412698319e+03,3.619355083552577308e-15
3.600000000000000000e+03,3.625557435794109352e-15
3.601587301587301681e+03,3.631761414771382009e-15
3.603174603174603362e+03,3.637967005980852269e-15
3.604761904761904589e+03,3.644174194926126572e-15
3.606349206349206270e+03,3.650382967118089385e-15
3.607936507936507951e+03,3.656593308074949752e-15
3.609523809523809632e+03,3.662805203322302029e-15
3.611111111111111313e+03,3.669018638393229232e-15
3.612698412698412540e+03,3.675233598828377185e-15
3.614285714285714221e+03,3.681450070176024729e-15
3.615873015873015902e+03,3.687668037992131058e-15
3.617460317460317583e+03,3.693887487840480862e-15
3.619047619047619264e+03,3.700108405292674080e-15
3.620634920634920491e+03,3.706330775928272621e-15
3.622222222222222172e+03,3.712554585334838235e-15
3.623809523809523853e+03,3.718779819108008238e-15
3.625396825396825534e+03,3.725006462851585448e-15
3.626984126984126760e+03,3.731234502177584725e-15
3.628571428571428442e+03,3.737463922706340253e-15
3.630158730158730123e+03,3.743694710066559979e-15
3.631746031746031804e+03,3.749926849895391869e-15
3.633333333333333485e+03,3.756160327838510688e-15
3.634920634920634711e+03,3.762395129550186630e-15
3.636507936507936392e+03,3.768631240693355525e-15
3.638095238095238074e+03,3.774868646939692205e-15
3.639682539682539755e+03,3.781107333969658624e-15
3.641269841269841436e+03,3.787347287472641906e-15
3.642857142857142662e+03,3.793588493146936205e-15
3.644444444444444343e+03,3.799830936699891799e-15
3.646031746031746025e+03,3.806074603847914300e-15
3.647619047619047706e+03,3.812319480316617692e-15
3.649206349206349387e+03,3.818565551840811711e-15
3.650793650793650613e+03,3.824812804164630430e-15
3.652380952380952294e+03,3.831061223041566178e-15
3.653968253968253975e+03,3.837310794234572093e-15
3.655555555555555657e+03,3.843561503516089732e-15
3.657142857142857338e+03,3.849813336668142946e-15
3.658730158730158564e+03,3.856066279482404143e-15
3.660317460317460245e+03,3.862320317760281852e-15
3.661904761904761926e+03,3.868575437312938079e-15
3.663492063492063608e+03,3.874831623961392435e-15
3.665079365079364834e+03,3.881088863536606547e-15
3.666666666666666515e+03,3.887347141879484054e-15
3.668253968253968196e+03,3.893606444841012603e-15
3.669841269841269877e+03,3.899866758282285153e-15
3.671428571428571558e+03,3.906128068074584376e-15
3.673015873015872785e+03,3.912390360099437881e-15
3.674603174603174466e+03,3.918653620248688424e-15
3.676190476190476147e+03,3.924917834424569634e-15
3.677777777777777828e+03,3.931182988539757295e-15
3.679365079365079509e+03,3.937449068517425350e-15
3.680952380952380736e+03,3.943716060291334256e-15
3.682539682539682417e+03,3.949983949805882257e-15
3.684126984126984098e+03,3.956252723016183488e-15
3.685714285714285779e+03,3.962522365888107411e-15
3.687301587301587460e+03,3.968792864398358491e-15
3.688888888888888687e+03,3.975064204534525109e-15
3.690476190476190368e+03,3.981336372295164758e-15
3.692063492063492049e+03,3.987609353689860048e-15
3.693650793650793730e+03,3.993883134739273142e-15
3.695238095238095411e+03,4.000157701475199398e-15
3.696825396825396638e+03,4.006433039940656507e-15
3.698412698412698319e+03,4.012709136189929461e-15
3.700000000000000000e+03,4.018985976288625774e-15
3.701587301587301681e+03,4.025263546313741744e-15
3.703174603174603362e+03,4.031541832353750805e-15
3.704761904761904589e+03,4.037820820508605897e-15
3.706349206349206270e+03,4.044100496889853848e-15
3.707936507936507951e+03,4.050380847620684283e-15
3.709523809523809632e+03,4.056661858835946192e-15
