wavelength_angstrom,flux_erg_s_cm2_angstrom
3.500000000000000000e+03,9.999999999999999988e-15
3.501587301587301681e+03,9.988021017456991651e-15
3.503174603174603362e+03,9.976058433731039258e-15
3.504761904761904589e+03,9.964112225897635066e-15
3.506349206349206270e+03,9.952182371056579292e-15
3.507936507936507951e+03,9.940268846332017979e-15
3.509523809523809632e+03,9.928371628872495059e-15
3.511111111111111313e+03,9.916490695850938156e-15
3.512698412698412540e+03,9.904626024464735890e-15
3.514285714285714221e+03,9.892777591935688975e-15
3.515873015873015902e+03,9.880945375510108030e-15
3.517460317460317583e+03,9.869129352458802540e-15
3.519047619047619264e+03,9.857329500077109251e-15
3.520634920634920491e+03,9.845545795684903218e-15
3.522222222222222172e+03,9.833778216626645136e-15
3.523809523809523853e+03,9.822026740271403426e-15
3.525396825396825534e+03,9.810291344012836880e-15
3.526984126984126760e+03,9.798572005269278282e-15
3.528571428571428442e+03,9.786868701483694966e-15
3.530158730158730123e+03,9.775181410123769276e-15
3.531746031746031804e+03,9.763510108681857549e-15
3.533333333333333485e+03,9.751854774675062688e-15
3.534920634920634711e+03,9.740215385645240472e-15
3.536507936507936392e+03,9.728591919158994828e-15
3.538095238095238074e+03,9.716984352807715688e-15
3.539682539682539755e+03,9.705392664207620018e-15
3.541269841269841436e+03,9.693816830999742347e-15
3.542857142857142662e+03,9.682256830849944234e-15
3.544444444444444343e+03,9.670712641448963178e-15
3.546031746031746025e+03,9.659184240512422084e-15
3.547619047619047706e+03,9.647671605780826107e-15
3.549206349206349387e+03,9.636174715019605254e-15
3.550793650793650613e+03,9.624693546019128577e-15
3.552380952380952294e+03,9.613228076594693135e-15
3.553968253968253975e+03,9.601778284586579211e-15
3.555555555555555657e+03,9.590344147860040846e-15
3.557142857142857338e+03,9.578925644305338974e-15
3.558730158730158564e+03,9.567522751837731950e-15
3.560317460317460245e+03,9.556135448397508687e-15
3.561904761904761926e+03,9.544763711950007589e-15
3.563492063492063608e+03,9.533407520485622858e-15
3.565079365079365289e+03,9.522066852019815540e-15
3.566666666666666515e+03,9.510741684593146659e-15
3.568253968253968196e+03,9.499431996271242502e-15
3.569841269841269877e+03,9.488137765144882980e-15
3.571428571428571558e+03,9.476858969329940087e-15
3.573015873015872785e+03,9.465595586967439438e-15
3.574603174603174466e+03,9.454347596223553956e-15
3.576190476190476147e+03,9.443114975289616493e-15
3.577777777777777828e+03,9.431897702382137185e-15
3.579365079365079509e+03,9.420695755742808189e-15
3.580952380952380736e+03,9.409509113638527341e-15
3.582539682539682417e+03,9.398337754361393431e-15
3.584126984126984098e+03,9.387181656228717242e-15
3.585714285714285779e+03,9.376040797583056262e-15
3.587301587301587460e+03,9.364915156792187862e-15
3.588888888888888687e+03,9.353804712249153472e-15
