wavelength_angstrom,flux_erg_s_cm2_angstrom
3.500000000000000000e+03,9.999999999999999988e-15
3.501587301587301681e+03,9.998247359956551110e-15
3.503174603174603362e+03,9.996486803726010779e-15
3.504761904761904589e+03,9.994718351760530396e-15
3.506349206349206270e+03,9.992942024485758791e-15
3.507936507936507951e+03,9.991157842300835913e-15
3.509523809523809632e+03,9.989365825578373896e-15
3.511111111111111313e+03,9.987565994664368707e-15
3.512698412698412540e+03,9.985758369878220658e-15
3.514285714285714221e+03,9.983942971512693380e-15
3.515873015873015902e+03,9.982119819833857033e-15
3.517460317460317583e+03,9.980288935081113542e-15
3.519047619047619264e+03,9.978450337467092471e-15
3.520634920634920491e+03,9.976604047177677847e-15
3.522222222222222172e+03,9.974750084371949777e-15
3.523809523809523853e+03,9.972888469182192343e-15
3.525396825396825534e+03,9.971019221713781582e-15
3.526984126984126760e+03,9.969142362045278569e-15
3.528571428571428442e+03,9.967257910228312670e-15
3.530158730158730123e+03,9.965365886287573649e-15
3.531746031746031804e+03,9.963466310220776961e-15
3.533333333333333485e+03,9.961559201998698463e-15
3.534920634920634711e+03,9.959644581565038724e-15
3.536507936507936392e+03,9.957722468836519275e-15
3.538095238095238074e+03,9.955792883702745337e-15
3.539682539682539755e+03,9.953855846026264207e-15
3.541269841269841436e+03,9.951911375642502140e-15
3.542857142857142662e+03,9.949959492359735956e-15
3.544444444444444343e+03,9.948000215959067794e-15
3.546031746031746025e+03,9.946033566194469290e-15
3.547619047619047706e+03,9.944059562792638001e-15
3.549206349206349387e+03,9.942078225453060518e-15
3.550793650793650613e+03,9.940089573847995107e-15
3.552380952380952294e+03,9.938093627622377049e-15
3.553968253968253975e+03,9.936090406393875436e-15
3.555555555555555657e+03,9.934079929752820598e-15
3.557142857142857338e+03,9.932062217262211988e-15
3.558730158730158564e+03,9.930037288457677165e-15
3.560317460317460245e+03,9.928005162847470213e-15
3.561904761904761926e+03,9.925965859912440189e-15
3.563492063492063608e+03,9.923919399105993256e-15
3.565079365079365289e+03,9.921865799854117930e-15
3.566666666666666515e+03,9.919805081555331432e-15
3.568253968253968196e+03,9.917737263580665493e-15
3.569841269841269877e+03,9.915662365273682127e-15
3.571428571428571558e+03,9.913580405950375819e-15
3.573015873015872785e+03,9.911491404899241359e-15
3.574603174603174466e+03,9.909395381381221784e-15
3.576190476190476147e+03,9.907292354629667351e-15
3.577777777777777828e+03,9.905182343850370253e-15
3.579365079365079509e+03,9.903065368221512551e-15
3.580952380952380736e+03,9.900941446893650395e-15
3.582539682539682417e+03,9.898810598989699829e-15
3.584126984126984098e+03,9.896672843604958874e-15
3.585714285714285779e+03,9.894528199807019182e-15
3.587301587301587460e+03,9.892376686635827561e-15
3.588888888888888687e+03,9.890218323103611824e-15
3.590476190476190368e+03,9.888053128194910768e-15
3.592063492063492049e+03,9.885881120866531573e-15
3.593650793650793730e+03,9.883702320047567157e-15
3.595238095238095411e+03,9.881516744639304669e-15
3.596825396825396638e+03,9.879324413515342242e-15
3.598412698412698319e+03,9.877125345521446993e-15
3.600000000000000000e+03,9.874919559475633916e-15
3.601587301587301681e+03,9.872707074168105922e-15
3.603174603174603362e+03,9.870487908361272777e-15
3.604761904761904589e+03,9.868262080789683255e-15
3.606349206349206270e+03,9.866029610160091406e-15
3.607936507936507951e+03,9.863790515151398180e-15
3.609523809523809632e+03,9.861544814414645115e-15
3.611111111111111313e+03,9.859292526573008026e-15
3.612698412698412540e+03,9.857033670221800159e-15
3.614285714285714221e+03,9.854768263928448531e-15
3.615873015873015902e+03,9.852496326232462368e-15
3.617460317460317583e+03,9.850217875645502530e-15
3.619047619047619264e+03,9.847932930651250559e-15
3.620634920634920491e+03,9.845641509705528582e-15
3.622222222222222172e+03,9.843343631236199923e-15
3.623809523809523853e+03,9.841039313643202226e-15
3.625396825396825534e+03,9.838728575298534837e-15
3.626984126984126760e+03,9.836411434546228831e-15
3.628571428571428442e+03,9.834087909702372248e-15
3.630158730158730123e+03,9.831758019055092745e-15
3.631746031746031804e+03,9.829421780864538659e-15
3.633333333333333485e+03,9.827079213362885319e-15
3.634920634920634711e+03,9.824730334754331892e-15
3.636507936507936392e+03,9.822375163215076138e-15
3.638095238095238074e+03,9.820013716893334919e-15
3.639682539682539755e+03,9.817646013909296873e-15
3.641269841269841436e+03,9.815272072355206024e-15
3.642857142857142662e+03,9.812891910295237152e-15
3.644444444444444343e+03,9.810505545765592026e-15
3.646031746031746025e+03,9.808112996774417368e-15
3.647619047619047706e+03,9.805714281301886891e-15
3.649206349206349387e+03,9.803309417300112948e-15
3.650793650793650613e+03,9.800898422693203331e-15
3.652380952380952294e+03,9.798481315377217093e-15
3.653968253968253975e+03,9.796058113220203990e-15
3.655555555555555657e+03,9.793628834062149265e-15
3.657142857142857338e+03,9.791193495715019398e-15
3.658730158730158564e+03,9.788752115962724242e-15
3.660317460317460245e+03,9.786304712561162778e-15
3.661904761904761926e+03,9.783851303238155271e-15
3.663492063492063608e+03,9.781391905693503225e-15
3.665079365079364834e+03,9.778926537598957827e-15
3.666666666666666515e+03,9.776455216598197861e-15
3.668253968253968196e+03,9.773977960306884925e-15
3.669841269841269877e+03,9.771494786312631882e-15
3.671428571428571558e+03,9.769005712174983922e-15
3.673015873015872785e+03,9.766510755425461161e-15
3.674603174603174466e+03,9.764009933567519202e-15
3.676190476190476147e+03,9.761503264076586997e-15
3.677777777777777828e+03,9.758990764400035293e-15
3.679365079365079509e+03,9.756472451957182943e-15
3.680952380952380736e+03,9.753948344139322150e-15
3.682539682539682417e+03,9.751418458309694802e-15
3.684126984126984098e+03,9.748882811803511402e-15
3.685714285714285779e+03,9.746341421927941604e-15
3.687301587301587460e+03,9.743794305962125255e-15
3.688888888888888687e+03,9.741241481157147156e-15
3.690476190476190368e+03,9.738682964736076499e-15
3.692063492063492049e+03,9.736118773893970026e-15
3.693650793650793730e+03,9.733548925797854672e-15
3.695238095238095411e+03,9.730973437586711793e-15
3.696825396825396638e+03,9.728392326371540267e-15
3.698412698412698319e+03,9.725805609235315478e-15
3.700000000000000000e+03,9.723213303232986161e-15
3.701587301587301681e+03,9.720615425391513844e-15
3.703174603174603362e+03,9.718011992709868113e-15
3.704761904761904589e+03,9.715403022159010837e-15
3.706349206349206270e+03,9.712788530681899324e-15
3.707936507936507951e+03,9.710168535193547849e-15
3.709523809523809632e+03,9.707543052580937728e-15
3.711111111111111313e+03,9.704912099703124599e-15
3.712698412698412540e+03,9.702275693391169006e-15
3.714285714285714221e+03,9.699633850448167951e-15
3.715873015873015902e+03,9.696986587649265937e-15
3.717460317460317583e+03,9.694333921741673905e-15
3.719047619047619264e+03,9.691675869444639254e-15
3.720634920634920491e+03,9.689012447449472661e-15
3.722222222222222172e+03,9.686343672419571750e-15
3.723809523809523853e+03,9.683669560990389538e-15
3.725396825396825534e+03,9.680990129769489650e-15
3.726984126984126760e+03,9.678305395336508461e-15
3.728571428571428442e+03,9.675615374243188221e-15
3.730158730158730123e+03,9.672920083013378638e-15
3.731746031746031804e+03,9.670219538143054232e-15
3.733333333333333485e+03,9.667513756100293820e-15
3.734920634920634711e+03,9.664802753325340478e-15
3.736507936507936392e+03,9.662086546230552623e-15
3.738095238095238074e+03,9.659365151200443460e-15
3.739682539682539755e+03,9.656638584591709384e-15
3.741269841269841436e+03,9.653906862733177908e-15
3.742857142857142662e+03,9.651170001925881822e-15
3.744444444444444343e+03,9.648428018443043413e-15
3.746031746031746025e+03,9.645680928530068155e-15
3.747619047619047706e+03,9.642928748404590463e-15
3.749206349206349387e+03,9.640171494256442138e-15
3.750793650793650613e+03,9.637409182247699698e-15
3.752380952380952294e+03,9.634641828512659136e-15
3.753968253968253975e+03,9.631869449157897452e-15
3.755555555555555657e+03,9.629092060262225318e-15
3.757142857142856883e+03,9.626309677876745456e-15
3.758730158730158564e+03,9.623522318024833705e-15
3.760317460317460245e+03,9.620729996702168997e-15
3.761904761904761926e+03,9.617932729876711272e-15
3.763492063492063608e+03,9.615130533488767735e-15
3.765079365079364834e+03,9.612323423450977089e-15
3.766666666666666515e+03,9.609511415648304794e-15
3.768253968253968196e+03,9.606694525938082511e-15
3.769841269841269877e+03,9.603872770149987596e-15
3.771428571428571558e+03,9.601046164086120403e-15
3.773015873015872785e+03,9.598214723520936446e-15
3.774603174603174466e+03,9.595378464201300040e-15
3.776190476190476147e+03,9.592537401846522165e-15
3.777777777777777828e+03,9.589691552148316292e-15
3.779365079365079509e+03,9.586840930770864647e-15
3.780952380952380736e+03,9.583985553350781921e-15
3.782539682539682417e+03,9.581125435497192583e-15
3.784126984126984098e+03,9.578260592791674076e-15
3.785714285714285779e+03,9.575391040788307309e-15
3.787301587301587460e+03,9.572516795013728721e-15
3.788888888888888687e+03,9.569637870967065591e-15
3.790476190476190368e+03,9.566754284119997573e-15
3.792063492063492049e+03,9.563866049916770895e-15
3.793650793650793730e+03,9.560973183774193624e-15
3.795238095238095411e+03,9.558075701081687733e-15
3.796825396825396638e+03,9.555173617201249654e-15
3.798412698412698319e+03,9.552266947467524436e-15
3.800000000000000000e+03,9.549355707187761566e-15
3.801587301587301681e+03,9.546439911641882813e-15
3.803174603174603362e+03,9.543519576082475912e-15
3.804761904761904589e+03,9.540594715734797726e-15
3.806349206349206270e+03,9.537665345796819996e-15
3.807936507936507951e+03,9.534731481439218299e-15
3.809523809523809632e+03,9.531793137805408333e-15
3.811111111111111313e+03,9.528850330011531720e-15
3.812698412698412540e+03,9.525903073146522270e-15
3.814285714285714221e+03,9.522951382272080734e-15
3.815873015873015902e+03,9.519995272422707942e-15
3.817460317460317583e+03,9.517034758605714266e-15
3.819047619047619264e+03,9.514069855801257485e-15
3.820634920634920491e+03,9.511100578962317540e-15
3.822222222222222172e+03,9.508126943014780160e-15
3.823809523809523853e+03,9.505148962857383210e-15
3.825396825396825534e+03,9.502166653361765609e-15
3.826984126984127215e+03,9.499180029372509923e-15
3.828571428571428442e+03,9.496189105707126588e-15
3.830158730158730123e+03,9.493193897156088625e-15
3.831746031746031804e+03,9.490194418482804811e-15
3.833333333333333485e+03,9.487190684423739592e-15
3.834920634920634711e+03,9.484182709688315263e-15
3.836507936507936392e+03,9.481170508959011363e-15
3.838095238095238074e+03,9.478154096891341008e-15
3.839682539682539755e+03,9.475133488113910848e-15
3.841269841269841436e+03,9.472108697228383200e-15
3.842857142857142662e+03,9.469079738809547046e-15
3.844444444444444343e+03,9.466046627405305408e-15
