wavelength_angstrom,flux_erg_s_cm2_angstrom
3.500000000000000000e+03,7.056829793867054502e-15
3.501587301587301681e+03,7.063520904402220810e-15
3.503174603174603362e+03,7.070205087419371177e-15
3.504761904761904589e+03,7.076882332711539269e-15
3.506349206349206270e+03,7.083552630120108035e-15
3.507936507936507951e+03,7.090215969534805768e-15
3.509523809523809632e+03,7.096872340893548327e-15
3.511111111111111313e+03,7.103521734182459651e-15
3.512698412698412540e+03,7.110164139435763683e-15
3.514285714285714221e+03,7.116799546735744928e-15
3.515873015873015902e+03,7.123427946212674299e-15
3.517460317460317583e+03,7.130049328044708147e-15
3.519047619047619264e+03,7.136663682457888253e-15
3.520634920634920491e+03,7.143270999726025085e-15
3.522222222222222172e+03,7.149871270170672549e-15
3.523809523809523853e+03,7.156464484161045949e-15
3.525396825396825534e+03,7.163050632113911547e-15
3.526984126984126760e+03,7.169629704493599185e-15
3.528571428571428442e+03,7.176201691811883955e-15
3.530158730158730123e+03,7.182766584627946755e-15
3.531746031746031804e+03,7.189324373548268585e-15
3.533333333333333485e+03,7.195875049226613188e-15
3.534920634920634711e+03,7.202418602363945012e-15
3.536507936507936392e+03,7.208955023708326655e-15
3.538095238095238074e+03,7.215484304054903091e-15
3.539682539682539755e+03,7.222006434245792803e-15
3.541269841269841436e+03,7.228521405170045189e-15
3.542857142857142662e+03,7.235029207763563252e-15
3.544444444444444343e+03,7.241529833009046799e-15
3.546031746031746025e+03,7.248023271935908827e-15
3.547619047619047706e+03,7.254509515620201367e-15
3.549206349206349387e+03,7.260988555184576040e-15
3.550793650793650613e+03,7.267460381798178352e-15
3.552380952380952294e+03,7.273924986676619294e-15
3.553968253968253975e+03,7.280382361081880678e-15
3.555555555555555657e+03,7.286832496322223632e-15
3.557142857142857338e+03,7.293275383752188595e-15
3.558730158730158564e+03,7.299711014772443861e-15
3.560317460317460245e+03,7.306139380829790308e-15
3.561904761904761926e+03,7.312560473417014672e-15
3.563492063492063608e+03,7.318974284072895859e-15
3.565079365079365289e+03,7.325380804382092923e-15
3.566666666666666515e+03,7.331780025975053562e-15
3.568253968253968196e+03,7.338171940528009382e-15
3.569841269841269877e+03,7.344556539762852837e-15
3.571428571428571558e+03,7.350933815447039409e-15
3.573015873015872785e+03,7.357303759393638094e-15
3.574603174603174466e+03,7.363666363461102636e-15
3.576190476190476147e+03,7.370021619553328320e-15
3.577777777777777828e+03,7.376369519619505248e-15
3.579365079365079509e+03,7.382710055654066272e-15
3.580952380952380736e+03,7.389043219696631776e-15
3.582539682539682417e+03,7.395369003831926052e-15
3.584126984126984098e+03,7.401687400189687375e-15
3.585714285714285779e+03,7.407998400944633291e-15
3.587301587301587460e+03,7.414301998316351755e-15
3.588888888888888687e+03,7.420598184569252219e-15
3.590476190476190368e+03,7.426886952012494638e-15
3.592063492063492049e+03,7.433168292999877450e-15
3.593650793650793730e+03,7.439442199929828108e-15
3.595238095238095411e+03,7.445708665245273712e-15
3.596825396825396638e+03,7.451967681433584204e-15
3.598412698412698319e+03,7.458219241026540820e-15
3.600000000000000000e+03,7.464463336600186203e-15
3.601587301587301681e+03,7.470699960774816514e-15
3.603174603174603362e+03,7.476929106214889927e-15
3.604761904761904589e+03,7.483150765628895675e-15
3.606349206349206270e+03,7.489364931769399805e-15
3.607936507936507951e+03,7.495571597432844808e-15
3.609523809523809632e+03,7.501770755459566974e-15
3.611111111111111313e+03,7.507962398733652818e-15
3.612698412698412540e+03,7.514146520182945393e-15
3.614285714285714221e+03,7.520323112778873892e-15
3.615873015873015902e+03,7.526492169536467854e-15
3.617460317460317583e+03,7.532653683514221472e-15
3.619047619047619264e+03,7.538807647814028915e-15
3.620634920634920491e+03,7.544954055581144877e-15
3.622222222222222172e+03,7.551092900004080451e-15
3.623809523809523853e+03,7.557224174314508469e-15
3.625396825396825534e+03,7.563347871787260340e-15
3.626984126984126760e+03,7.569463985740135148e-15
3.628571428571428442e+03,7.575572509533953299e-15
3.630158730158730123e+03,7.581673436572376654e-15
3.631746031746031804e+03,7.587766760301899067e-15
3.633333333333333485e+03,7.593852474211750142e-15
3.634920634920634711e+03,7.599930571833776905e-15
3.636507936507936392e+03,7.606001046742440648e-15
3.638095238095238074e+03,7.612063892554704911e-15
3.639682539682539755e+03,7.618119102929958173e-15
3.641269841269841436e+03,7.624166671569922346e-15
3.642857142857142662e+03,7.630206592218597551e-15
3.644444444444444343e+03,7.636238858662227412e-15
3.646031746031746025e+03,7.642263464729103416e-15
3.647619047619047706e+03,7.648280404289623293e-15
3.649206349206349387e+03,7.654289671256122191e-15
3.650793650793650613e+03,7.660291259582836399e-15
3.652380952380952294e+03,7.666285163265797630e-15
3.653968253968253975e+03,7.672271376342809364e-15
3.655555555555555657e+03,7.678249892893319044e-15
3.657142857142857338e+03,7.684220707038329731e-15
3.658730158730158564e+03,7.690183812940401678e-15
3.660317460317460245e+03,7.696139204803477201e-15
3.661904761904761926e+03,7.702086876872891727e-15
3.663492063492063608e+03,7.708026823435201822e-15
3.665079365079364834e+03,7.713959038818210432e-15
3.666666666666666515e+03,7.719883517390813845e-15
3.668253968253968196e+03,7.725800253562943316e-15
3.669841269841269877e+03,7.731709241785501957e-15
3.671428571428571558e+03,7.737610476550282698e-15
3.673015873015872785e+03,7.743503952389878352e-15
3.674603174603174466e+03,7.749389663877607469e-15
3.676190476190476147e+03,7.755267605627440176e-15
3.677777777777777828e+03,7.761137772293944539e-15
3.679365079365079509e+03,7.767000158572135100e-15
3.680952380952380736e+03,7.772854759197482343e-15
3.682539682539682417e+03,7.778701568945759657e-15
3.684126984126984098e+03,7.784540582633054378e-15
3.685714285714285779e+03,7.790371795115572152e-15
3.687301587301587460e+03,7.796195201289652713e-15
3.688888888888888687e+03,7.802010796091686262e-15
3.690476190476190368e+03,7.807818574497939921e-15
3.692063492063492049e+03,7.813618531524600327e-15
3.693650793650793730e+03,7.819410662227639528e-15
3.695238095238095411e+03,7.825194961702704544e-15
3.696825396825396638e+03,7.830971425085117365e-15
3.698412698412698319e+03,7.836740047549709288e-15
3.700000000000000000e+03,7.842500824310825657e-15
3.701587301587301681e+03,7.848253750622163350e-15
3.703174603174603362e+03,7.853998821776761317e-15
3.704761904761904589e+03,7.859736033106891717e-15
3.706349206349206270e+03,7.865465379983979453e-15
3.707936507936507951e+03,7.871186857818509086e-15
3.709523809523809632e+03,7.876900462059985395e-15
3.711111111111111313e+03,7.882606188196837131e-15
3.712698412698412540e+03,7.888304031756312893e-15
3.714285714285714221e+03,7.893993988304421168e-15
3.715873015873015902e+03,7.899676053445876697e-15
3.717460317460317583e+03,7.905350222823969515e-15
3.719047619047619264e+03,7.911016492120509737e-15
3.720634920634920491e+03,7.916674857055783380e-15
3.722222222222222172e+03,7.922325313388405634e-15
3.723809523809523853e+03,7.927967856915276687e-15
3.725396825396825534e+03,7.933602483471523347e-15
3.726984126984126760e+03,7.939229188930383872e-15
3.728571428571428442e+03,7.944847969203119616e-15
3.730158730158730123e+03,7.950458820239019760e-15
3.731746031746031804e+03,7.956061738025180433e-15
3.733333333333333485e+03,7.961656718586561512e-15
3.734920634920634711e+03,7.967243757985805178e-15
3.736507936507936392e+03,7.972822852323253278e-15
3.738095238095238074e+03,7.978393997736773771e-15
3.739682539682539755e+03,7.983957190401697620e-15
3.741269841269841436e+03,7.989512426530832992e-15
3.742857142857142662e+03,7.995059702374272776e-15
3.744444444444444343e+03,8.000599014219348830e-15
3.746031746031746025e+03,8.006130358390583068e-15
