wavelength_angstrom,flux_erg_s_cm2_angstrom
3.500000000000000000e+03,9.303979733518225191e-15
3.501587301587301681e+03,9.307719965631968811e-15
3.503174603174603362e+03,9.311448934451415542e-15
3.504761904761904589e+03,9.315166647168739628e-15
3.506349206349206270e+03,9.318873111007862235e-15
3.507936507936507951e+03,9.322568333224328383e-15
3.509523809523809632e+03,9.326252321105081333e-15
3.511111111111111313e+03,9.329925081968401058e-15
3.512698412698412540e+03,9.333586623163702294e-15
3.514285714285714221e+03,9.337236952071384653e-15
3.515873015873015902e+03,9.340876076102693789e-15
3.517460317460317583e+03,9.344504002699585709e-15
3.519047619047619264e+03,9.348120739334537449e-15
3.520634920634920491e+03,9.351726293510444522e-15
3.522222222222222172e+03,9.355320672760464723e-15
3.523809523809523853e+03,9.358903884647809868e-15
3.525396825396825534e+03,9.362475936765685845e-15
3.526984126984126760e+03,9.366036836737095394e-15
3.528571428571428442e+03,9.369586592214683494e-15
3.530158730158730123e+03,9.373125210880619031e-15
3.531746031746031804e+03,9.376652700446462271e-15
3.533333333333333485e+03,9.380169068652959757e-15
3.534920634920634711e+03,9.383674323269927554e-15
3.536507936507936392e+03,9.387168472096145545e-15
3.538095238095238074e+03,9.390651522959136550e-15
3.539682539682539755e+03,9.394123483715092171e-15
3.541269841269841436e+03,9.397584362248691355e-15
3.542857142857142662e+03,9.401034166472971021e-15
3.544444444444444343e+03,9.404472904329144622e-15
3.546031746031746025e+03,9.407900583786531147e-15
3.547619047619047706e+03,9.411317212842331085e-15
3.549206349206349387e+03,9.414722799521553849e-15
3.550793650793650613e+03,9.418117351876814253e-15
3.552380952380952294e+03,9.421500877988270974e-15
3.553968253968253975e+03,9.424873385963364659e-15
3.555555555555555657e+03,9.428234883936808451e-15
3.557142857142857338e+03,9.431585380070356069e-15
3.558730158730158564e+03,9.434924882552696099e-15
3.560317460317460245e+03,9.438253399599302107e-15
3.561904761904761926e+03,9.441570939452306428e-15
3.563492063492063608e+03,9.444877510380329768e-15
3.565079365079365289e+03,9.448173120678386539e-15
3.566666666666666515e+03,9.451457778667717625e-15
3.568253968253968196e+03,9.454731492695638917e-15
3.569841269841269877e+03,9.457994271135441918e-15
3.571428571428571558e+03,9.461246122386215460e-15
3.573015873015872785e+03,9.464487054872749466e-15
3.574603174603174466e+03,9.467717077045355083e-15
3.576190476190476147e+03,9.470936197379743204e-15
3.577777777777777828e+03,9.474144424376929801e-15
3.579365079365079509e+03,9.477341766563022935e-15
3.580952380952380736e+03,9.480528232489126511e-15
3.582539682539682417e+03,9.483703830731251932e-15
3.584126984126984098e+03,9.486868569890068813e-15
3.585714285714285779e+03,9.490022458590892360e-15
3.587301587301587460e+03,9.493165505483475114e-15
3.588888888888888687e+03,9.496297719241858644e-15
3.590476190476190368e+03,9.499419108564318324e-15
3.592063492063492049e+03,9.502529682173181899e-15
3.593650793650793730e+03,9.505629448814644887e-15
3.595238095238095411e+03,9.508718417258751652e-15
3.596825396825396638e+03,9.511796596299179250e-15
3.598412698412698319e+03,9.514863994753101750e-15
3.600000000000000000e+03,9.517920621461120811e-15
3.601587301587301681e+03,9.520966485287098446e-15
3.603174603174603362e+03,9.524001595117996091e-15
3.604761904761904589e+03,9.527025959863787835e-15
3.606349206349206270e+03,9.530039588457323152e-15
3.607936507936507951e+03,9.533042489854177025e-15
3.609523809523809632e+03,9.536034673032536342e-15
3.611111111111111313e+03,9.539016146993065797e-15
3.612698412698412540e+03,9.541986920758764312e-15
3.614285714285714221e+03,9.544947003374886154e-15
3.615873015873015902e+03,9.547896403908740562e-15
3.617460317460317583e+03,9.550835131449631795e-15
3.619047619047619264e+03,9.553763195108641406e-15
3.620634920634920491e+03,9.556680604018620356e-15
3.622222222222222172e+03,9.559587367333993371e-15
3.623809523809523853e+03,9.562483494230588551e-15
3.625396825396825534e+03,9.565368993905626329e-15
3.626984126984126760e+03,9.568243875577482807e-15
3.628571428571428442e+03,9.571108148485617185e-15
3.630158730158730123e+03,9.573961821890455007e-15
3.631746031746031804e+03,9.576804905073252478e-15
3.633333333333333485e+03,9.579637407335908718e-15
3.634920634920634711e+03,9.582459338000968911e-15
3.636507936507936392e+03,9.585270706411395540e-15
3.638095238095238074e+03,9.588071521930478458e-15
3.639682539682539755e+03,9.590861793941702353e-15
3.641269841269841436e+03,9.593641531848672603e-15
3.642857142857142662e+03,9.596410745074889657e-15
3.644444444444444343e+03,9.599169443063744302e-15
3.646031746031746025e+03,9.601917635278331494e-15
3.647619047619047706e+03,9.604655331201298893e-15
3.649206349206349387e+03,9.607382540334802692e-15
3.650793650793650613e+03,9.610099272200346684e-15
3.652380952380952294e+03,9.612805536338622918e-15
3.653968253968253975e+03,9.615501342309489605e-15
3.655555555555555657e+03,9.618186699691747084e-15
3.657142857142857338e+03,9.620861618083093647e-15
3.658730158730158564e+03,9.623526107099925166e-15
3.660317460317460245e+03,9.626180176377339828e-15
3.661904761904761926e+03,9.628823835568877811e-15
3.663492063492063608e+03,9.631457094346503928e-15
3.665079365079364834e+03,9.634079962400460897e-15
3.666666666666666515e+03,9.636692449439122618e-15
3.668253968253968196e+03,9.639294565188918437e-15
3.669841269841269877e+03,9.641886319394180112e-15
3.671428571428571558e+03,9.644467721817078700e-15
3.673015873015872785e+03,9.647038782237428920e-15
3.674603174603174466e+03,9.649599510452641823e-15
3.676190476190476147e+03,9.652149916277585954e-15
3.677777777777777828e+03,9.654690009544435886e-15
3.679365079365079509e+03,9.657219800102640668e-15
3.680952380952380736e+03,9.659739297818713991e-15
3.682539682539682417e+03,9.662248512576177383e-15
3.684126984126984098e+03,9.664747454275438731e-15
3.685714285714285779e+03,9.667236132833689727e-15
3.687301587301587460e+03,9.669714558184722852e-15
3.688888888888888687e+03,9.672182740278907707e-15
3.690476190476190368e+03,9.674640689083044291e-15
3.692063492063492049e+03,9.677088414580214692e-15
3.693650793650793730e+03,9.679525926769734177e-15
3.695238095238095411e+03,9.681953235666979219e-15
3.696825396825396638e+03,9.684370351303329128e-15
3.698412698412698319e+03,9.686777283726008269e-15
3.700000000000000000e+03,9.689174042998013496e-15
3.701587301587301681e+03,9.691560639197965840e-15
3.703174603174603362e+03,9.693937082420037936e-15
3.704761904761904589e+03,9.696303382773810451e-15
3.706349206349206270e+03,9.698659550384197929e-15
3.707936507936507951e+03,9.701005595391284711e-15
3.709523809523809632e+03,9.703341527950285489e-15
3.711111111111111313e+03,9.705667358231401735e-15
3.712698412698412540e+03,9.707983096419671815e-15
3.714285714285714221e+03,9.710288752714941017e-15
3.715873015873015902e+03,9.712584337331714819e-15
3.717460317460317583e+03,9.714869860499016895e-15
3.719047619047619264e+03,9.717145332460367026e-15
3.720634920634920491e+03,9.719410763473596509e-15
3.722222222222222172e+03,9.721666163810772424e-15
3.723809523809523853e+03,9.723911543758091929e-15
3.725396825396825534e+03,9.726146913615779704e-15
3.726984126984126760e+03,9.728372283697947539e-15
3.728571428571428442e+03,9.730587664332561197e-15
3.730158730158730123e+03,9.732793065861270025e-15
3.731746031746031804e+03,9.734988498639305974e-15
3.733333333333333485e+03,9.737173973035423651e-15
3.734920634920634711e+03,9.739349499431763053e-15
3.736507936507936392e+03,9.741515088223747018e-15
3.738095238095238074e+03,9.743670749819962895e-15
3.739682539682539755e+03,9.745816494642124679e-15
3.741269841269841436e+03,9.747952333124905769e-15
3.742857142857142662e+03,9.750078275715826956e-15
3.744444444444444343e+03,9.752194332875228020e-15
3.746031746031746025e+03,9.754300515076087868e-15
3.747619047619047706e+03,9.756396832803969319e-15
3.749206349206349387e+03,9.758483296556903927e-15
3.750793650793650613e+03,9.760559916845298895e-15
3.752380952380952294e+03,9.762626704191810859e-15
3.753968253968253975e+03,9.764683669131268577e-15
3.755555555555555657e+03,9.766730822210584581e-15
3.757142857142856883e+03,9.768768173988611599e-15
3.758730158730158564e+03,9.770795735036093650e-15
3.760317460317460245e+03,9.772813515935549291e-15
3.761904761904761926e+03,9.774821527281112266e-15
3.763492063492063608e+03,9.776819779678552018e-15
3.765079365079364834e+03,9.778808283745098561e-15
3.766666666666666515e+03,9.780787050109311529e-15
3.768253968253968196e+03,9.782756089411092799e-15
3.769841269841269877e+03,9.784715412301487695e-15
3.771428571428571558e+03,9.786665029442623462e-15
3.773015873015872785e+03,9.788604951507616176e-15
3.774603174603174466e+03,9.790535189180495015e-15
3.776190476190476147e+03,9.792455753156055528e-15
3.777777777777777828e+03,9.794366654139794957e-15
3.779365079365079509e+03,9.796267902847842804e-15
3.780952380952380736e+03,9.798159510006785718e-15
3.782539682539682417e+03,9.800041486353675372e-15
3.784126984126984098e+03,9.801913842635850186e-15
3.785714285714285779e+03,9.803776589610880109e-15
3.787301587301587460e+03,9.805629738046448283e-15
3.788888888888888687e+03,9.807473298720314761e-15
3.790476190476190368e+03,9.809307282420168199e-15
3.792063492063492049e+03,9.811131699943504373e-15
