object_name,constellation,spectral_type,vmag,coherence_score,e_total,e_uv,e_vis,e_ir,timestamp
Sirius,Cancer,A1V,-1.46,0.47117194612708935,2.8857080698467712e-11,4.7328349942214546e-12,1.774796738069463e-11,6.376278242292097e-12,2026-03-08T05:44:44.183866+00:00
Altarf,Cancer,K4III,3.52,0.4584534668326978,5.3367957746390595e-11,2.0331018879304035e-12,2.6140238082882575e-11,2.519461769431653e-11,2026-03-08T05:44:43.583078+00:00
Asellus Australis,Cancer,K0IIIb,3.94,0.4584534668326978,5.3367957746390595e-11,2.0331018879304035e-12,2.6140238082882575e-11,2.519461769431653e-11,2026-03-08T05:44:43.699242+00:00
Acubens,Cancer,Am,4.25,0.47117194612708935,2.8857080698467712e-11,4.7328349942214546e-12,1.774796738069463e-11,6.376278242292097e-12,2026-03-08T05:44:43.950529+00:00
Asellus Borealis,Cancer,A1IV,4.66,0.47117194612708935,2.8857080698467712e-11,4.7328349942214546e-12,1.774796738069463e-11,6.376278242292097e-12,2026-03-08T05:44:43.809424+00:00
Aldebaran,Taurus,K5III,0.87,0.4584534668326978,5.3367957746390595e-11,2.0331018879304035e-12,2.6140238082882575e-11,2.519461769431653e-11,2026-03-03T02:17:14.250358+00:00
Elnath,Taurus,B7III,1.65,0.46312651890007983,1.5239752930106188e-11,4.101819063200554e-12,9.169494284548731e-12,1.9684396135705626e-12,2026-03-03T02:17:14.353170+00:00
Alcyone,Taurus,B7IIIe,2.87,0.46312651890007983,1.5239752930106188e-11,4.101819063200554e-12,9.169494284548731e-12,1.9684396135705626e-12,2026-03-03T02:17:14.445120+00:00
Tianguan,Taurus,B4IIIpe,3.0,0.46312651890007983,1.5239752930106188e-11,4.101819063200554e-12,9.169494284548731e-12,1.9684396135705626e-12,2026-03-03T02:17:14.627978+00:00
Ain,Taurus,K0III,3.53,0.4584534668326978,5.3367957746390595e-11,2.0331018879304035e-12,2.6140238082882575e-11,2.519461769431653e-11,2026-03-03T02:17:14.535409+00:00
